max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,n_estimators,fit_quality,model_power,lift_opt_score,mae
4,0.05,1000,1.0,1.0,10,0.6614725674035741,0.13650236274370808,0.2281592301458616,404.55270653487463
4,0.05,2000,1.0,1.0,10,0.6614725674035741,0.13650236274370808,0.2281592301458616,404.55270653487463
4,0.05,1000,0.8,0.8,10,0.6581099429850104,0.13505579787923933,0.21661911332843942,404.4060653461286
4,0.05,2000,0.8,0.8,10,0.6581099429850104,0.13505579787923933,0.21661911332843942,404.4060653461286
4,0.05,500,0.8,0.8,10,0.6581099429850104,0.13505579787923933,0.21661911332843942,404.4060653461286
4,0.05,500,0.8,1.0,10,0.6575423466323973,0.13667853586800488,0.21492175753334972,404.399196449598
4,0.05,1000,0.8,1.0,10,0.6575423466323973,0.13667853586800488,0.21492175753334972,404.399196449598
4,0.05,2000,0.8,1.0,10,0.6575423466323973,0.13667853586800488,0.21492175753334972,404.399196449598
5,0.05,500,0.8,1.0,10,0.6555527965197072,0.14670499750142374,0.20950071633018794,403.5186802166232
6,0.05,500,1.0,0.8,10,0.6545523294176159,0.15109341044486047,0.20672298434972755,402.89324543565994
6,0.05,1000,1.0,0.8,10,0.654389067409497,0.15108536355545163,0.20619455386475954,402.8969090303176
4,0.05,1000,1.0,0.8,10,0.6549412756179702,0.1332320587649491,0.20604237545457285,404.595813962294
4,0.05,2000,1.0,0.8,10,0.6549412756179702,0.1332320587649491,0.20604237545457285,404.595813962294
4,0.05,500,1.0,0.8,10,0.6549412756179702,0.1332320587649491,0.20604237545457285,404.595813962294
6,0.05,2000,1.0,0.8,10,0.654131881054129,0.15102759752368342,0.20535916863712456,402.91188243113027
5,0.05,1000,1.0,1.0,10,0.6536367371511447,0.14605810876416606,0.20324550872741629,403.71693002244507
5,0.05,500,1.0,1.0,10,0.6527562436632726,0.14607113892704798,0.20044569596629128,403.71507587889425
5,0.05,1000,0.8,1.0,10,0.6526514657121487,0.14668895212394845,0.20017850795293923,403.52218276751273
6,0.05,500,0.8,0.8,10,0.6521480592548399,0.15225911242455048,0.1991630276223423,402.67092708284076
6,0.05,1000,0.8,0.8,10,0.651837592997977,0.15223023596147908,0.19818203459182543,402.67400902364705
5,0.05,500,1.0,0.8,10,0.6518742350479148,0.1429486931838146,0.19734252284869597,403.7759221924282
5,0.05,2000,1.0,1.0,10,0.6516180339005635,0.14603898533069928,0.19685977349081452,403.72085270434417
